,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Адыгея,,,1.9,0.0,-1.5,-4.2,-3.6,-3.7,-3.9,-4.2,-4.3,-5.2,-5.9,-5.3,-4.8,-5.1,-4.5,-4.9,-4.7,-2.8,-2.1,-1.6,-1.2,-1.2,-0.5,-0.6,-0.6,-0.5,-0.9,-2.0
Алтайский край,,,1.8,0.4,-1.4,-4.9,-5.9,-6.0,-5.9,-5.4,-4.0,-5.1,-5.0,-5.1,-5.4,-5.1,-5.0,-6.4,-5.1,-3.6,-2.7,-1.9,-2.3,-1.9,-0.9,-0.8,-1.0,-1.5,-2.0,-3.2
Амурская область,,,7.6,5.3,2.3,-1.8,-2.3,-1.9,-2.6,-2.6,-1.8,-3.5,-4.4,-4.3,-4.5,-4.2,-4.8,-4.8,-3.7,-1.7,-2.2,-1.4,-1.5,-1.2,-0.4,0.2,-0.2,-0.6,-0.8,-1.6
Архангельская область,,,3.7,2.0,-1.3,-5.4,-6.5,-6.1,-5.3,-4.8,-4.2,-7.3,-7.5,-6.6,-7.1,-7.1,-6.5,-6.3,-4.9,-2.8,-2.6,-2.1,-2.0,-1.7,-0.8,-0.7,-0.9,-1.4,-1.9,-2.7
Астраханская область,,,4.7,2.8,0.9,-2.8,-3.6,-3.4,-3.4,-3.0,-3.7,-4.2,-4.4,-4.1,-3.7,-3.5,-2.6,-3.3,-2.3,-0.6,0.6,0.8,0.7,1.2,2.4,2.6,2.3,2.2,2.0,0.7
Башкортостан,,,6.5,4.7,2.4,-1.0,-1.7,-1.5,-1.0,-1.3,-1.0,-2.8,-2.9,-3.0,-3.0,-3.1,-2.9,-3.4,-2.5,-0.9,-0.3,0.6,0.6,0.4,1.4,1.5,1.7,1.2,0.8,-0.3
Белгородская область,,,0.0,-1.8,-3.2,-5.8,-5.8,-5.4,-5.7,-6.5,-6.3,-7.5,-7.5,-7.9,-7.6,-6.9,-7.1,-7.1,-5.8,-4.5,-3.7,-3.4,-3.5,-3.0,-2.4,-2.2,-2.5,-2.4,-2.8,-3.8
Брянская область,,,0.1,-1.1,-2.5,-5.8,-7.2,-6.7,-6.8,-8.3,-8.3,-9.7,-10.4,-10.0,-10.6,-10.0,-9.8,-10.8,-9.5,-7.6,-6.8,-5.8,-6.3,-5.2,-4.8,-4.8,-5.0,-4.4,-4.7,-5.8
Бурятия,,,9.2,6.7,3.4,-0.4,-1.2,-0.3,-0.3,-0.5,0.3,-1.6,-1.5,-2.2,-1.6,-1.9,-1.5,-1.7,0.3,2.8,3.5,4.4,4.3,4.3,5.1,5.8,6.0,5.9,5.2,3.8
Владимирская область,,,-0.4,-2.2,-4.3,-7.8,-9.3,-8.9,-8.5,-8.7,-8.6,-11.0,-11.5,-11.6,-12.2,-11.5,-10.8,-11.1,-9.8,-8.5,-8.0,-7.6,-7.2,-6.2,-5.2,-5.6,-5.4,-4.9,-5.3,-6.0
Волгоградская область,,,1.3,0.3,-1.4,-4.3,-5.8,-5.5,-5.8,-5.9,-5.9,-7.3,-7.0,-7.1,-6.8,-6.8,-5.8,-6.3,-5.5,-3.9,-3.2,-3.1,-3.4,-2.6,-1.9,-2.0,-2.1,-2.3,-2.5,-3.1
Вологодская область,,,1.4,-0.1,-2.9,-6.4,-7.9,-7.7,-7.3,-6.6,-6.2,-8.1,-7.2,-8.0,-8.3,-9.4,-8.4,-8.3,-6.2,-4.3,-4.3,-3.8,-4.2,-2.7,-1.1,-1.2,-1.2,-1.1,-1.7,-3.0
Воронежская область,,,-2.4,-3.7,-5.0,-8.1,-8.5,-8.4,-8.5,-9.0,-8.6,-10.3,-10.3,-10.6,-10.9,-10.7,-10.0,-10.4,-9.7,-8.7,-7.9,-6.6,-6.8,-5.7,-4.7,-4.8,-4.8,-4.2,-4.5,-5.0
Дагестан,,,19.9,18.6,16.3,13.5,13.8,13.6,11.9,11.1,10.7,9.2,9.0,9.2,9.9,9.9,9.9,9.6,9.3,11.3,12.4,12.4,12.1,12.9,13.4,13.3,13.6,12.9,12.3,11.3
Еврейская автономная область,,,8.2,6.2,2.3,-0.9,-2.1,-2.7,-3.1,-2.7,-1.7,-4.3,-4.8,-3.9,-4.6,-4.1,-5.0,-6.3,-3.9,-2.1,-1.4,-1.6,-1.9,-1.3,-1.1,-0.9,-1.1,-1.4,-1.8,-1.6
Забайкальский край,,,8.4,6.7,4.1,-0.3,-1.6,-0.6,-1.2,-1.1,0.2,-2.8,-2.7,-2.8,-3.1,-3.3,-3.3,-3.7,-1.6,0.5,1.6,2.2,2.1,2.2,3.1,3.4,3.5,2.5,2.3,1.7
Ивановская область,,,-2.4,-4.2,-6.1,-9.0,-11.4,-11.2,-10.9,-11.2,-10.7,-14.0,-13.6,-12.9,-13.7,-13.3,-12.6,-13.3,-11.0,-9.0,-9.0,-8.0,-8.0,-6.5,-5.8,-5.1,-5.3,-4.6,-5.2,-6.2
Ингушетия,,,,,,,,18.5,14.1,13.9,12.9,14.5,16.1,15.2,12.3,11.1,10.5,10.2,11.4,13.4,15.2,15.0,22.6,23.0,17.7,17.7,18.0,15.2,13.0,13.1
Иркутская область,,,6.2,4.4,1.2,-2.7,-3.8,-4.1,-2.9,-2.7,-2.5,-4.7,-4.8,-4.6,-4.7,-4.6,-4.1,-5.1,-2.8,-0.2,0.9,1.3,0.8,1.3,2.0,2.1,1.6,1.7,1.4,0.5
Кабардино-Балкария,,,11.5,10.1,8.3,4.9,4.1,3.2,2.4,2.3,2.0,1.0,0.4,0.1,0.2,0.1,0.8,-0.1,0.6,3.3,4.4,4.2,5.2,5.6,7.0,6.6,6.8,5.8,5.4,4.3
Калининградская область,,,2.8,1.8,-0.7,-4.5,-5.6,-5.0,-5.1,-5.5,-5.3,-6.7,-7.3,-8.1,-8.4,-8.7,-9.0,-9.2,-7.2,-4.5,-4.0,-3.1,-2.8,-1.5,-0.8,-0.7,-0.7,-0.5,-0.1,-1.5
Калмыкия,,,12.7,11.1,9.5,5.9,4.6,3.1,2.2,2.5,1.9,0.8,0.1,0.6,0.4,1.5,2.5,1.5,2.2,3.5,4.8,4.1,4.3,4.5,4.9,4.7,4.2,3.8,2.6,1.1
Калужская область,,,-0.5,-1.8,-3.9,-7.9,-9.3,-8.6,-8.2,-8.2,-8.3,-10.5,-10.7,-10.3,-10.4,-10.2,-9.5,-10.3,-8.4,-7.3,-6.9,-6.2,-5.5,-4.5,-4.1,-3.5,-3.5,-2.4,-2.9,-4.0
Камчатский край,,,6.2,5.2,2.8,-1.3,-2.0,-2.0,-1.3,-0.4,0.2,-1.1,-1.7,-2.3,-0.7,-1.4,-1.1,-1.6,-0.3,0.1,0.3,0.1,-0.6,0.4,1.5,1.6,1.7,1.6,1.4,0.9
Карачаево-Черкесия,,,8.8,8.0,6.8,2.9,2.7,2.6,1.3,0.8,1.0,-0.4,-0.7,-0.3,-0.7,-0.8,0.3,0.1,0.3,3.4,3.8,3.5,2.9,3.3,3.9,4.4,3.8,2.7,2.4,1.8
Карелия,,,3.1,0.9,-2.4,-6.1,-8.4,-7.9,-6.2,-5.4,-5.3,-7.5,-7.8,-8.0,-8.6,-9.7,-8.1,-8.2,-6.8,-5.3,-5.1,-4.0,-4.1,-2.8,-2.8,-2.7,-2.3,-3.1,-2.8,-4.3
Кемеровская область,,,1.6,0.2,-2.8,-6.6,-8.1,-7.8,-7.7,-6.9,-5.7,-7.4,-7.7,-7.4,-7.6,-7.8,-7.2,-7.9,-6.0,-4.5,-3.3,-2.6,-3.0,-2.8,-1.4,-0.9,-1.4,-2.0,-2.2,-3.6
Кировская область,,,0.9,-1.0,-2.9,-6.3,-8.0,-8.3,-7.6,-7.3,-6.4,-8.2,-8.7,-8.7,-10.0,-10.4,-9.2,-9.7,-8.0,-6.2,-5.8,-5.2,-5.0,-3.9,-2.8,-2.4,-2.3,-2.5,-2.3,-3.8
Костромская область,,,-0.8,-2.6,-5.2,-7.9,-9.7,-9.2,-9.0,-8.8,-8.8,-10.4,-10.8,-11.2,-11.7,-12.2,-11.2,-11.3,-8.9,-7.1,-6.7,-5.4,-5.6,-4.3,-3.2,-3.4,-3.2,-3.5,-3.6,-4.2
Краснодарский край,,,-0.1,-1.2,-2.4,-5.5,-5.4,-5.3,-5.3,-5.6,-5.2,-6.2,-6.3,-5.7,-5.8,-5.4,-4.5,-5.3,-4.4,-3.1,-2.0,-1.3,-1.3,-1.3,-0.2,0.3,0.6,0.5,0.3,-0.5
Красноярский край,,,4.5,3.1,0.4,-3.3,-4.6,-4.2,-3.8,-3.7,-3.7,-5.1,-5.5,-4.6,-4.6,-4.7,-3.9,-4.9,-2.9,-1.5,-0.7,0.2,0.1,0.5,1.5,1.7,1.7,1.7,1.4,0.1
Крым,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,-2.7,-3.2,-3.5
Курганская область,,,3.1,1.4,-0.6,-4.8,-5.3,-5.7,-5.5,-5.6,-4.8,-6.0,-6.7,-6.8,-7.3,-7.7,-7.0,-7.2,-5.8,-4.3,-3.8,-3.1,-3.1,-2.9,-2.1,-2.1,-2.3,-2.7,-3.5,-4.1
Курская область,,,-2.0,-4.2,-5.2,-7.6,-8.9,-8.3,-8.7,-8.8,-8.6,-10.2,-10.4,-10.3,-10.8,-10.9,-10.4,-11.1,-10.1,-7.9,-7.6,-6.8,-6.5,-5.3,-4.6,-4.5,-4.9,-4.7,-5.0,-5.9
Ленинградская область,,,-1.5,-2.8,-5.6,-10.7,-12.0,-10.9,-9.3,-8.3,-8.6,-11.2,-12.1,-12.7,-12.6,-13.1,-12.0,-12.5,-11.4,-9.9,-9.2,-7.8,-7.0,-6.1,-5.7,-5.6,-5.4,-5.0,-4.8,-5.0
Липецкая область,,,-0.7,-2.4,-3.9,-6.9,-8.1,-7.8,-7.4,-7.5,-7.2,-8.7,-8.7,-9.1,-8.8,-9.6,-9.1,-8.6,-7.8,-6.8,-6.3,-5.6,-5.8,-4.5,-3.7,-3.9,-3.9,-3.7,-3.9,-4.7
Магаданская область,,,8.0,6.3,2.3,-2.4,-2.8,-2.7,-2.3,0.0,0.5,-1.3,-2.1,-2.1,-1.8,-1.4,-1.9,-2.6,-2.5,-2.3,-2.9,-1.2,-1.5,-1.4,-0.1,0.7,0.3,0.0,-0.2,-0.5
Марий Эл,,,5.5,3.7,1.2,-2.1,-3.8,-3.5,-3.4,-3.8,-3.9,-5.5,-5.8,-6.2,-6.6,-6.0,-6.1,-6.7,-5.3,-3.4,-2.9,-2.2,-2.5,-1.1,0.5,0.9,1.0,0.6,0.7,-0.5
Мордовия,,,2.0,0.5,-1.4,-4.1,-6.1,-5.1,-6.1,-6.5,-6.1,-7.8,-8.4,-7.9,-8.7,-8.8,-8.1,-8.6,-7.8,-6.6,-5.9,-5.9,-6.2,-5.3,-4.5,-4.7,-4.3,-4.4,-4.3,-5.0
Москва,,,-2.2,-3.7,-5.9,-9.2,-9.5,-8.5,-6.6,-6.0,-6.0,-6.2,-5.8,-5.7,-5.3,-4.7,-3.8,-3.4,-3.2,-2.2,-1.5,-0.4,-0.3,1.1,1.4,1.7,1.6,1.7,1.8,1.1
Московская область,,,-2.0,-3.5,-5.5,-9.1,-10.8,-10.3,-8.9,-8.3,-8.1,-9.7,-9.8,-10.1,-9.7,-9.1,-8.4,-8.5,-7.9,-7.0,-6.1,-4.9,-4.5,-3.1,-2.4,-1.8,-1.3,-0.1,0.1,-0.4
Мурманская область,,,5.4,3.8,0.8,-2.8,-3.3,-3.2,-1.9,-1.2,-0.6,-2.6,-3.0,-3.1,-3.4,-4.0,-3.2,-3.6,-2.9,-1.4,-1.3,-1.2,-0.2,0.0,0.5,0.9,0.3,0.3,-0.3,-0.8
Ненецкий автономный округ,,,10.3,9.3,5.9,1.2,2.7,0.7,1.3,2.9,3.2,2.0,0.3,0.9,1.6,1.8,1.8,2.3,1.1,3.0,3.6,4.8,4.7,4.7,7.1,5.7,7.9,8.4,9.6,6.6
Нижегородская область,,,-1.6,-2.8,-4.5,-8.1,-9.6,-9.6,-8.4,-8.3,-8.1,-9.7,-10.4,-10.8,-11.2,-11.0,-10.7,-11.1,-9.9,-8.4,-7.6,-6.6,-7.0,-5.4,-4.3,-4.1,-4.0,-3.2,-3.5,-4.2
Новгородская область,,,-1.8,-3.7,-6.2,-10.9,-12.3,-11.9,-10.8,-9.8,-9.7,-12.1,-12.6,-13.1,-13.3,-14.3,-12.9,-13.2,-11.7,-9.4,-10.3,-9.2,-8.7,-7.1,-5.8,-6.0,-5.4,-5.6,-5.8,-6.8
Новосибирская область,,,2.4,1.2,-1.2,-5.5,-7.0,-5.6,-5.5,-4.9,-4.6,-5.7,-5.7,-5.3,-5.4,-4.9,-4.5,-5.5,-4.7,-3.3,-2.0,-1.2,-0.7,-0.5,0.3,0.7,0.7,1.1,0.8,-0.5
Омская область,,,5.6,3.9,2.0,-1.1,-2.4,-2.1,-2.4,-3.1,-2.3,-4.7,-4.9,-4.9,-4.8,-4.1,-4.2,-5.1,-4.3,-2.9,-1.9,-0.9,-0.7,0.1,1.1,1.3,1.9,1.0,0.1,-1.4
Оренбургская область,,,5.8,3.5,1.5,-2.0,-3.1,-3.3,-3.2,-3.3,-2.9,-4.6,-4.7,-4.7,-4.3,-4.4,-4.1,-5.0,-3.9,-2.5,-1.9,-0.5,-0.5,-0.4,0.7,0.9,0.4,0.2,-0.1,-1.7
Орловская область,,,-0.7,-2.4,-4.4,-6.9,-7.4,-7.4,-7.6,-7.9,-7.6,-9.3,-9.8,-9.9,-10.0,-9.9,-9.5,-10.0,-8.9,-7.9,-7.0,-6.2,-6.4,-5.8,-5.2,-5.2,-5.4,-5.2,-5.5,-6.3
Пензенская область,,,0.1,-0.9,-2.7,-5.9,-7.5,-6.8,-7.1,-7.6,-7.2,-9.2,-9.5,-9.2,-9.6,-9.5,-9.4,-9.8,-8.5,-6.4,-6.1,-5.5,-5.7,-5.1,-4.1,-4.1,-4.0,-4.1,-4.3,-5.2
Пермский край,,,2.8,0.9,-1.4,-5.4,-7.5,-6.7,-5.5,-5.1,-3.9,-5.9,-6.5,-6.3,-7.0,-7.0,-6.3,-7.0,-5.5,-3.6,-2.5,-1.7,-1.2,-0.6,0.6,0.7,0.7,0.5,0.3,-1.2
Приморский край,,,5.5,3.2,0.3,-3.4,-3.7,-3.7,-4.4,-4.1,-3.5,-4.9,-5.3,-4.8,-4.9,-5.1,-5.1,-5.8,-4.5,-3.4,-3.2,-2.0,-2.5,-2.1,-1.1,-0.8,-0.6,-0.8,-1.4,-2.4
Псковская область,,,-3.2,-4.7,-7.4,-12.4,-14.7,-13.1,-12.0,-12.0,-11.7,-14.6,-14.9,-14.8,-15.3,-15.9,-15.1,-15.7,-14.4,-11.2,-11.7,-10.5,-10.7,-8.9,-8.5,-7.6,-7.5,-7.2,-6.8,-7.9
Республика Алтай,,,8.4,7.7,5.1,1.2,0.3,1.1,0.7,0.7,2.7,1.0,1.3,0.8,0.9,1.1,2.5,1.7,2.8,7.2,9.1,8.4,8.3,10.5,10.9,9.8,9.6,7.9,8.1,6.1
Республика Коми,,,6.1,4.8,2.0,-2.1,-3.6,-3.5,-2.5,-1.7,-0.7,-2.4,-3.5,-3.5,-4.0,-4.3,-3.7,-4.1,-2.7,-0.8,-0.5,-0.4,-0.2,0.7,1.8,2.2,2.0,1.3,0.7,-0.3
Республика Тыва,,,17.7,14.4,11.7,8.8,6.6,7.1,5.2,3.2,5.3,2.5,2.3,2.7,3.8,5.4,6.7,5.4,7.0,12.5,13.9,14.5,15.2,16.5,15.5,15.2,14.4,13.5,13.4,13.2
Ростовская область,,,0.0,-1.0,-2.4,-5.5,-6.1,-6.5,-6.0,-6.1,-6.1,-7.2,-7.2,-7.4,-7.3,-7.1,-6.4,-6.7,-6.0,-4.8,-4.2,-3.8,-3.8,-3.4,-2.3,-2.1,-2.0,-1.8,-2.3,-3.1
Рязанская область,,,-2.4,-3.6,-5.7,-9.1,-11.0,-10.2,-9.9,-10.4,-9.9,-11.7,-12.3,-12.5,-12.7,-12.9,-11.7,-11.9,-10.7,-9.6,-8.5,-7.7,-7.9,-6.2,-5.5,-5.0,-5.1,-4.7,-4.7,-5.5
Самарская область,,,1.2,-0.2,-1.9,-4.9,-6.1,-6.2,-6.3,-5.7,-5.7,-7.6,-8.5,-8.2,-7.1,-6.6,-6.1,-6.5,-5.6,-4.6,-3.9,-3.3,-3.6,-2.9,-1.8,-2.0,-1.7,-1.4,-1.4,-2.9
Санкт-Петербург,,,-1.4,-3.3,-5.9,-10.8,-10.1,-8.9,-7.5,-6.7,-7.1,-9.0,-9.4,-9.0,-8.4,-8.0,-7.3,-7.4,-6.5,-5.3,-4.2,-2.8,-2.0,-0.9,0.2,0.7,1.3,1.7,2.1,1.1
Саратовская область,,,1.6,0.2,-2.0,-5.5,-6.5,-5.7,-6.0,-6.2,-6.0,-7.3,-8.3,-8.1,-7.9,-7.9,-7.4,-7.8,-6.5,-5.1,-4.6,-4.3,-4.9,-3.8,-2.9,-3.0,-2.5,-2.7,-3.1,-4.1
Сахалинская область,,,6.1,3.5,1.2,-3.3,-4.9,-8.3,-4.4,-3.8,-2.8,-4.2,-4.2,-5.2,-4.8,-5.5,-4.8,-6.0,-3.8,-2.4,-2.2,-2.4,-2.8,-2.4,-1.2,-0.2,0.6,0.4,1.1,1.0
Свердловская область,,,1.0,-0.7,-3.2,-6.5,-7.8,-7.0,-6.5,-6.0,-5.5,-7.5,-8.2,-7.1,-7.2,-6.9,-5.9,-6.2,-4.6,-3.2,-2.3,-1.5,-0.9,-0.6,0.3,0.7,0.5,0.3,-0.2,-1.0
Севастополь,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7,-1.4,-1.2,-1.9
Северная Осетия,,,7.4,6.3,4.3,0.6,0.7,0.3,-0.7,-0.9,-0.6,-1.8,-2.0,-1.3,-1.2,-1.3,-1.1,-1.1,0.2,2.5,2.8,2.9,3.6,3.7,4.7,4.8,4.6,3.9,3.7,2.5
Смоленская область,,,-1.4,-3.0,-4.8,-8.4,-9.6,-9.1,-9.3,-10.4,-10.2,-12.7,-13.0,-13.0,-13.4,-13.3,-12.5,-13.0,-12.0,-10.0,-9.6,-8.4,-8.0,-6.4,-6.3,-5.8,-5.3,-5.8,-5.9,-6.4
Ставропольский край,,,3.2,2.1,1.1,-2.3,-2.4,-2.9,-3.4,-3.5,-3.2,-4.4,-4.6,-4.6,-5.0,-4.7,-4.0,-4.4,-4.1,-2.1,-1.2,-1.1,-0.5,-0.5,0.6,0.9,1.3,1.4,1.3,0.3
Тамбовская область,,,-3.2,-4.6,-5.6,-8.6,-9.5,-9.0,-9.0,-9.6,-9.1,-11.3,-11.0,-11.0,-11.7,-11.5,-10.4,-10.9,-10.1,-8.7,-8.6,-8.0,-8.0,-7.1,-6.5,-6.6,-6.5,-6.3,-6.3,-6.5
Татарстан,,,5.5,3.5,1.5,-0.9,-1.8,-2.5,-2.0,-2.4,-2.1,-3.0,-3.7,-3.7,-3.6,-3.6,-3.3,-4.0,-3.2,-2.1,-1.2,-0.3,-0.2,1.0,2.3,2.6,2.5,2.7,2.7,1.1
Тверская область,,,-3.4,-4.7,-7.4,-11.8,-13.6,-12.3,-11.6,-11.4,-11.5,-13.6,-14.1,-14.9,-15.2,-14.9,-13.7,-13.8,-12.3,-10.4,-10.0,-8.9,-9.2,-7.7,-6.7,-6.7,-6.5,-6.5,-6.6,-7.0
Томская область,,,3.9,2.0,-0.3,-4.4,-4.8,-3.8,-4.2,-3.5,-2.4,-3.4,-3.7,-3.7,-3.9,-3.9,-2.8,-3.8,-2.4,-0.8,-0.1,0.3,0.4,0.8,1.7,2.1,2.0,2.1,1.8,0.5
Тульская область,,,-4.3,-5.4,-7.6,-10.8,-13.0,-12.1,-11.5,-11.5,-11.2,-13.7,-14.2,-14.3,-14.4,-14.7,-13.8,-14.2,-12.9,-12.0,-11.4,-9.9,-9.8,-8.3,-7.6,-7.5,-7.1,-6.6,-6.8,-7.6
Тюменская область,,,9.6,7.2,4.3,1.2,0.8,0.8,1.0,1.8,2.7,1.8,1.3,1.8,2.5,3.0,3.6,3.2,3.9,5.3,6.0,6.7,7.1,7.6,8.8,5.1,5.4,5.2,4.5,3.5
Удмуртия,,,5.3,3.8,1.3,-2.9,-4.5,-4.3,-3.6,-2.8,-1.8,-3.1,-3.5,-3.9,-4.3,-4.2,-3.7,-4.4,-3.0,-1.4,-0.7,0.6,0.3,1.0,2.4,1.9,1.7,1.7,1.2,-0.2
Ульяновская область,,,2.8,1.2,-0.5,-3.4,-4.1,-4.6,-4.6,-5.9,-5.1,-6.6,-7.5,-7.7,-8.0,-8.4,-7.8,-8.3,-7.7,-6.5,-5.0,-4.4,-5.1,-4.0,-2.7,-2.8,-2.7,-3.0,-3.2,-3.9
Хабаровский край,,,5.9,3.8,0.4,-2.8,-3.4,-3.9,-4.3,-4.0,-3.6,-5.4,-5.6,-5.5,-5.6,-5.5,-4.7,-5.4,-3.9,-2.6,-1.8,-1.1,-1.7,-1.6,0.2,0.6,0.7,0.9,0.3,-1.0
Хакасия,,,4.7,3.4,0.1,-3.9,-5.6,-4.1,-4.1,-4.3,-3.9,-5.3,-4.5,-5.4,-5.8,-6.0,-4.3,-5.9,-2.8,0.2,1.0,1.5,1.2,1.7,2.6,2.6,2.1,1.3,1.3,-0.2
Ханты-Мансийский автономный округ,,,12.9,10.3,,4.0,4.1,3.4,3.7,4.6,5.5,4.6,4.5,5.2,6.5,6.8,7.2,6.4,6.9,7.9,8.5,9.0,9.6,9.9,11.4,11.2,10.8,10.2,9.5,7.9
Челябинская область,,,2.7,1.2,,-4.5,-5.8,-5.9,-5.1,-4.6,-4.0,-5.9,-6.6,-6.3,-6.3,-6.1,-5.5,-5.9,-4.6,-3.1,-2.2,-1.3,-1.0,-0.6,0.2,0.2,0.4,0.0,-0.3,-1.5
Чечня,,,15.8,14.6,,,,,,,,,,,,18.4,19.6,19.8,18.9,22.4,24.8,23.8,24.3,23.7,20.7,19.8,19.2,18.2,16.6,17.4
Чувашия,,,5.7,4.2,,-1.8,-2.6,-2.9,-2.5,-2.9,-2.0,-4.4,-4.7,-5.2,-5.3,-5.2,-4.4,-5.1,-4.4,-2.9,-2.7,-1.1,-1.6,-0.7,0.7,0.9,0.6,0.7,0.0,-1.3
Чукотский автономный округ,,,10.1,8.4,,2.4,2.6,1.3,1.4,2.9,3.5,2.2,1.9,0.3,0.7,2.3,3.2,3.9,3.7,4.1,2.7,1.2,0.9,2.5,2.6,2.6,2.8,4.1,3.6,3.7
Якутия,,,12.7,11.0,,6.8,5.7,5.5,4.9,4.8,4.8,3.3,4.0,3.7,4.4,4.8,5.3,4.1,4.7,6.4,6.1,7.0,7.0,7.7,8.5,8.8,9.2,8.6,7.6,6.4
Ямало-Ненецкий автономный округ,,,13.1,11.3,,6.3,7.0,6.7,6.7,7.0,7.7,7.0,6.1,6.7,7.3,8.0,8.3,7.7,7.6,8.8,9.1,9.7,10.3,10.2,11.4,11.5,11.8,11.3,10.1,9.1
Ярославская область,,,-1.9,-3.7,,-9.9,-11.1,-9.8,-9.8,-9.3,-9.0,-11.6,-10.7,-11.5,-11.9,-11.7,-10.6,-10.7,-8.9,-7.6,-7.0,-5.7,-6.0,-4.7,-4.0,-3.7,-3.6,-3.4,-3.6,-4.7
